Date,Open,High,Low,Close,Adj Close,Volume
2003-02-06,52.110001,52.259998,51.380001,52.119999,31.772791,6356600
2003-02-07,51.700001,52.080002,51.330002,51.840000,31.602077,6270800
2003-02-10,51.410000,52.980000,51.230000,52.040001,31.723999,8070200
2003-02-11,52.490002,53.619999,51.779999,52.000000,31.699621,8016600
2003-02-12,51.799999,51.799999,50.000000,50.000000,30.480404,15589100
2003-02-13,49.990002,51.849998,49.099998,51.310001,31.407772,13309200
2003-02-14,51.310001,52.500000,51.200001,51.750000,31.677109,8432700
2003-02-18,53.000000,53.950001,52.599998,53.060001,32.478966,8027900
2003-02-19,53.009998,53.139999,52.200001,52.570000,32.179039,4490800
2003-02-20,53.099998,53.330002,51.599998,51.919998,31.781172,5525400
2003-02-21,52.480000,53.799999,52.060001,53.480000,32.736057,6473200
2003-02-24,53.490002,53.490002,52.410000,52.430000,32.093342,5483600
2003-02-25,51.860001,52.849998,51.349998,52.759998,32.295319,6165200
2003-02-26,52.759998,53.380001,51.820000,51.820000,31.719942,6069100
2003-02-27,51.990002,53.099998,51.799999,52.779999,32.307594,5478300
2003-02-28,52.529999,53.040001,52.110001,52.450001,32.105583,6438700
2003-03-03,53.160000,53.439999,52.250000,52.430000,32.093342,5654400
2003-03-04,52.439999,52.950001,51.680000,51.689999,31.640377,5474600
2003-03-05,51.520000,52.900002,51.500000,52.810001,32.325947,6676900
2003-03-06,52.599998,53.740002,52.299999,53.299999,32.625889,9287200
2003-03-07,52.549999,55.389999,52.520000,55.299999,33.850121,13278900
2003-03-10,54.549999,55.200001,53.950001,54.130001,33.133938,7114000
2003-03-11,54.509998,54.980000,53.959999,54.480000,33.348175,7362500
2003-03-12,54.500000,54.799999,54.090000,54.680000,33.470604,8918100
2003-03-13,54.680000,55.599998,54.230000,55.480000,33.960297,9637200
2003-03-14,55.660000,55.880001,54.799999,55.189999,33.782787,7588000
2003-03-17,54.450001,56.500000,54.400002,56.389999,34.517311,8218600
2003-03-18,56.389999,56.910000,56.080002,56.779999,34.756054,7218700
2003-03-19,56.840000,57.450001,56.009998,57.310001,35.080463,6828100
2003-03-20,57.169998,57.500000,56.500000,57.389999,35.129433,5865900
2003-03-21,58.180000,58.680000,57.380001,58.669998,35.912952,8689200
2003-03-24,57.099998,57.980000,56.650002,56.750000,34.737694,7233800
2003-03-25,56.500000,57.400002,56.029999,57.080002,34.939674,7645200
2003-03-26,57.090000,57.110001,56.490002,56.660000,34.682594,6640500
2003-03-27,56.000000,57.340000,55.700001,56.959999,34.866226,5517600
2003-03-28,56.000000,57.599998,56.000000,57.380001,35.123322,5706900
2003-03-31,56.750000,58.450001,56.750000,57.869999,35.423264,9597600
2003-04-01,57.869999,58.599998,57.680000,58.419998,35.759926,7793200
2003-04-02,58.270000,58.680000,57.779999,58.410000,35.753796,8450400
2003-04-03,57.919998,58.389999,57.240002,57.459999,35.172298,7423500
2003-04-04,57.509998,58.000000,57.349998,57.840000,35.404896,6748300
2003-04-07,57.840000,59.080002,57.200001,57.330002,35.092701,7225600
2003-04-08,57.580002,58.000000,57.200001,57.500000,35.196770,5420100
2003-04-09,57.020000,58.099998,57.020000,57.259998,35.049862,6111200
2003-04-10,57.720001,57.720001,56.709999,57.209999,35.019276,6612800
2003-04-11,57.720001,58.139999,57.330002,57.380001,35.123322,5898700
