,Date,Open,High,Low,Close,Adj Close,Volume,dias_da_semana,dia_ou_noite
196,2002-10-11,57.029999,57.25,55.310001,56.700001,34.447582000000004,11088200,4,noite
197,2002-10-14,56.709998999999996,57.900002,56.709998999999996,57.830002,35.134094,8537200,0,noite
198,2002-10-15,58.849998,59.779999,57.439999,59.560001,36.185143,16208800,1,noite
199,2002-10-16,59.299999,59.799999,58.349998,58.900002,35.784164000000004,8431200,2,noite
200,2002-10-17,59.5,60.200001,59.049999,60.200001,36.57399,7710900,3,noite
201,2002-10-18,59.400002,60.0,59.200001,59.349998,36.057559999999995,8034900,4,noite
202,2002-10-21,59.5,61.299999,59.41,61.110001000000004,37.126841999999996,9120500,0,noite
203,2002-10-22,60.669998,61.110001000000004,58.200001,59.82,36.343113,13097000,1,noite
204,2002-10-23,58.82,59.099998,56.75,57.950001,35.207008,12622700,2,noite
205,2002-10-24,57.950001,58.77,56.700001,57.709998999999996,35.061214,7484100,3,noite
206,2002-10-25,57.720001,58.150002,57.09,57.759997999999996,35.091595,6248800,4,noite
207,2002-10-28,57.98,58.16,56.900002,57.27,34.793896000000004,4633100,0,noite
208,2002-10-29,57.02,57.380001,55.860001000000004,56.25,34.174191,7658100,1,noite
209,2002-10-30,56.720001,57.639998999999996,56.560001,57.299999,34.812111,6951100,2,noite
210,2002-10-31,57.34,59.0,57.330002,58.75,35.693042999999996,10225200,3,noite
211,2002-11-01,58.330002,59.0,57.459998999999996,58.59,35.59584,6595400,4,noite
212,2002-11-04,59.5,59.599998,58.369999,58.709998999999996,35.668743,5810000,0,noite
213,2002-11-05,58.720001,60.0,58.720001,59.889998999999996,36.385643,5490000,1,noite
214,2002-11-06,59.900002,61.240002000000004,59.099998,60.27,36.616501,9856400,2,noite
215,2002-11-07,60.279999,60.400002,59.41,59.889998999999996,36.385643,5367900,3,noite
216,2002-11-08,60.099998,60.939999,59.950001,60.27,36.616501,7055300,4,noite
217,2002-11-11,60.27,60.990002000000004,59.509997999999996,60.0,36.452465000000004,7682300,0,noite
218,2002-11-12,60.200001,60.610001000000004,59.689999,60.02,36.464619,6361700,1,noite
219,2002-11-13,60.0,60.529999,59.0,59.93,36.409935,7231900,2,noite
220,2002-11-14,60.369999,60.77,60.0,60.459998999999996,36.731934,4675100,3,noite
221,2002-11-15,60.25,60.380001,59.799999,60.150002,36.667942,6941400,4,noite
222,2002-11-18,59.900002,60.200001,59.080002,59.080002,36.015656,6652200,0,noite
223,2002-11-19,59.0,59.25,58.419998,58.799999,35.844967,7504500,1,noite
224,2002-11-20,58.599998,60.0,58.360001000000004,60.0,36.576485,5325100,2,noite
225,2002-11-21,60.0,60.299999,59.07,59.48,36.259502000000005,7669300,3,noite
226,2002-11-22,59.48,59.880001,58.490002000000004,58.549999,35.692558,8759000,4,noite
227,2002-11-25,58.16,59.09,57.75,58.639998999999996,35.747409999999995,6340100,0,noite
228,2002-11-26,57.759997999999996,58.25,56.299999,56.41,34.388,9157600,1,noite
229,2002-11-27,56.849998,58.150002,56.700001,57.740002000000004,35.19878,6314400,2,noite
230,2002-11-29,57.740002000000004,57.740002000000004,56.57,57.02,34.759861,3977700,4,noite
231,2002-12-02,56.59,56.599998,54.25,55.700001,33.955172999999995,16267800,0,noite
232,2002-12-03,55.700001,56.450001,55.5,55.830002,34.034424,7983900,1,noite
233,2002-12-04,55.830002,57.07,55.669998,56.73,34.583073,6885900,2,noite
234,2002-12-05,56.939999,56.939999,55.669998,55.869999,34.058815,5608300,3,noite
235,2002-12-06,55.0,55.689999,54.810001,55.27,33.69305,6843800,4,noite
236,2002-12-09,55.080002,55.939999,54.900002,55.560001,33.869827,6364200,0,noite
237,2002-12-10,55.849998,55.889998999999996,55.0,55.860001000000004,34.052708,7587300,1,noite
238,2002-12-11,55.400002,56.380001,55.400002,56.169998,34.241673,5503400,2,noite
239,2002-12-12,56.18,56.18,54.91,55.049999,33.558933,6618600,3,noite
240,2002-12-13,55.060001,55.43,54.439999,54.91,33.473579,6102000,4,noite
241,2002-12-16,54.77,55.610001000000004,54.450001,55.580002,33.882023,7184900,0,noite
242,2002-12-17,54.950001,55.0,54.25,54.669998,33.327273999999996,6540000,1,noite
243,2002-12-18,54.240002000000004,54.57,53.169998,53.700001,32.735958000000004,8207700,2,noite
244,2002-12-19,53.18,54.18,53.18,53.41,32.559177000000005,5661200,3,noite
245,2002-12-20,53.950001,54.889998999999996,53.75,54.52,33.235836,10787800,4,noite
246,2002-12-23,54.889998999999996,54.889998999999996,54.049999,54.5,33.22364,5118700,0,noite
247,2002-12-24,54.25,55.389998999999996,54.25,54.900002,33.467484000000006,3333300,1,noite
